id,value
party,
party.Conservative Party,
party.Conservative Party.Attorney General,104
party.Conservative Party.Cabinet Office,132
party.Conservative Party.Church Commissioners,65
party.Conservative Party.Communities and Local Government,242
party.Conservative Party.Department for Business Innovation and Skills,293
party.Conservative Party.Department for Culture Media and Sport,253
party.Conservative Party.Department for Education,296
party.Conservative Party.Department for Environment Food and Rural Affairs,253
party.Conservative Party.Department for International Development,147
party.Conservative Party.Department for Transport,304
party.Conservative Party.Department for Work and Pensions,280
party.Conservative Party.Department of Energy and Climate Change,232
party.Conservative Party.Department of Health,317
party.Conservative Party.Foreign and Commonwealth Office,313
party.Conservative Party.Home Office,245
party.Conservative Party.House of Commons Commission,10
party.Conservative Party.Leader of the House of Commons,42
party.Conservative Party.Minister for Women and Equalities,133
party.Conservative Party.Ministry of Defence,332
party.Conservative Party.Ministry of Justice,327
party.Conservative Party.Northern Ireland Office,85
party.Conservative Party.Prime Minister,606
party.Conservative Party.Public Accounts Commission,8
party.Conservative Party.Scotland Office,73
party.Conservative Party.Speaker's Committee on the Electoral Commission,21
party.Conservative Party.Treasury,305
party.Conservative Party.Wales Office,109
party.Democratic Unionist Party,
party.Democratic Unionist Party.Attorney General,5
party.Democratic Unionist Party.Cabinet Office,4
party.Democratic Unionist Party.Church Commissioners,4
party.Democratic Unionist Party.Communities and Local Government,3
party.Democratic Unionist Party.Department for Business Innovation and Skills,12
party.Democratic Unionist Party.Department for Culture Media and Sport,6
party.Democratic Unionist Party.Department for Education,2
party.Democratic Unionist Party.Department for Environment Food and Rural Affairs,8
party.Democratic Unionist Party.Department for International Development,6
party.Democratic Unionist Party.Department for Transport,10
party.Democratic Unionist Party.Department of Energy and Climate Change,6
party.Democratic Unionist Party.Department of Health,8
party.Democratic Unionist Party.Foreign and Commonwealth Office,6
party.Democratic Unionist Party.Home Office,3
party.Democratic Unionist Party.House of Commons Commission,2
party.Democratic Unionist Party.Minister for Women and Equalities,5
party.Democratic Unionist Party.Ministry of Defence,3
party.Democratic Unionist Party.Ministry of Justice,5
party.Democratic Unionist Party.Northern Ireland Office,43
party.Democratic Unionist Party.Prime Minister,11
party.Democratic Unionist Party.Scotland Office,1
party.Democratic Unionist Party.Treasury,5
party.Green Party,27
party.Green Party.Communities and Local Government,2
party.Green Party.Department for Environment Food and Rural Affairs,2
party.Green Party.Department of Energy and Climate Change,6
party.Green Party.Department of Health,2
party.Green Party.Foreign and Commonwealth Office,1
party.Green Party.Home Office,2
party.Green Party.Prime Minister,10
party.Green Party.Treasury,2
party.Independent (affiliation),
party.Independent (affiliation).Communities and Local Government,1
party.Independent (affiliation).Department for Culture Media and Sport,6
party.Independent (affiliation).Department for Education,2
party.Independent (affiliation).Department for International Development,1
party.Independent (affiliation).Department for Transport,1
party.Independent (affiliation).Department for Work and Pensions,1
party.Independent (affiliation).Foreign and Commonwealth Office,1
party.Independent (affiliation).Home Office,4
party.Independent (affiliation).Ministry of Justice,1
party.Independent (affiliation).Northern Ireland Office,6
party.Independent (affiliation).Scotland Office,1
party.Labour Party,
party.Labour Party.Attorney General,74
party.Labour Party.Cabinet Office,89
party.Labour Party.Church Commissioners,18
party.Labour Party.Communities and Local Government,213
party.Labour Party.Department for Business Innovation and Skills,235
party.Labour Party.Department for Culture Media and Sport,150
party.Labour Party.Department for Education,209
party.Labour Party.Department for Environment Food and Rural Affairs,157
party.Labour Party.Department for International Development,115
party.Labour Party.Department for Transport,217
party.Labour Party.Department for Work and Pensions,235
party.Labour Party.Department of Energy and Climate Change,217
party.Labour Party.Department of Health,235
party.Labour Party.Foreign and Commonwealth Office,200
party.Labour Party.Home Office,172
party.Labour Party.House of Commons Commission,6
party.Labour Party.Leader of the House of Commons,44
party.Labour Party.Minister for Women and Equalities,105
party.Labour Party.Ministry of Defence,177
party.Labour Party.Ministry of Justice,236
party.Labour Party.Northern Ireland Office,55
party.Labour Party.Prime Minister,527
party.Labour Party.Scotland Office,65
party.Labour Party.Speaker's Committee on the Electoral Commission,6
party.Labour Party.Treasury,182
party.Labour Party.Wales Office,88
